"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00713","966","1","1",".TAU_application"
"100.0","0.143","966","1","60.1875","MG_MPI"
"66.6","643","643","1","0","MPI_Finalize()"
"32.9","317","317","1","0","MPI_Init()"
"0.2","0.181","2","70","1158","COMM3"
"0.2","0.0346","1","6","96","MG3P"
"0.1","0.0926","1","2","407","ZRAN3"
"0.1","1","1","390","0","MPI_Wait()"
"0.1","0.154","1","384","384","TAKE3"
"0.1","0.0308","0.877","26","26","RESID"
"0.1","0.763","0.763","88","0","MPI_Allreduce()"
"0.1","0.697","0.697","7","0","MPI_Bcast()"
"0.1","0.15","0.648","384","384","GIVE3"
"0.1","0.0174","0.63","24","24","PSINV"
"0.1","0.502","0.502","390","0","MPI_Send()"
"0.1","0.00919","0.484","18","18","RPRJ3"
"0.0","0.462","0.462","6","0","MPI_Barrier()"
"0.0","0.16","0.283","390","390","READY"
"0.0","0.0295","0.255","18","18","INTERP"
"0.0","0.0112","0.226","18","18","COMM3_EX"
"0.0","0.00194","0.205","6","6","TAKE3_EX"
"0.0","0.00537","0.145","4","8","NORM2U3"
"0.0","0.123","0.123","390","0","MPI_Irecv()"
"0.0","0.035","0.0354","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0313","0.0313","175","0","BUBBLE"
"0.0","0.0271","0.0271","0.0625","0","CHECK_TIMER_FLAG"
"0.0","0.0132","0.0216","6","56","POWER"
"0.0","0.0191","0.0191","130","0","RANDLC"
"0.0","0.0161","0.0161","1","0","ALLOC_SPACE"
"0.0","0.0139","0.0139","28","0","ZERO3"
"0.0","0.0135","0.0135","2","0","TIMER_START"
"0.0","0.0124","0.0124","1","0","MPI_Reduce()"
"0.0","0.0108","0.0108","64","0","VRANLC"
"0.0","0.0102","0.0102","0.0625","0","PRINT_RESULTS"
"0.0","0.00325","0.00631","6","6","GIVE3_EX"
"0.0","0.00556","0.00556","2","0","SETUP"
"0.0","0.00269","0.00269","17","0","TIMER_CLEAR"
"0.0","0.00106","0.00106","2","0","TIMER_STOP"
"0.0","0.00025","0.00025","1","0","MPI_Comm_size()"
"0.0","0.00025","0.00025","1.0625","0","TIMER_READ"
"0.0","0.000188","0.000188","1","0","MPI_Comm_rank()"
