"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.00662","957","1","1",".TAU_application"
"100.0","0.128","957","1","70.0938","MG_MPI"
"66.0","631","631","1","0","MPI_Finalize()"
"33.6","321","321","1","0","MPI_Init()"
"0.2","1","1","88","0","MPI_Allreduce()"
"0.1","0.0502","1","2","99","ZRAN3"
"0.1","1","1","7","0","MPI_Bcast()"
"0.1","0.00344","0.95","4","8","NORM2U3"
"0.1","0.646","0.646","6","0","MPI_Barrier()"
"0.0","0.0501","0.336","48","252","COMM3"
"0.0","0.0243","0.271","11","55","MG3P"
"0.0","0.0157","0.176","24","24","RESID"
"0.0","0.00719","0.157","22","22","PSINV"
"0.0","0.0311","0.154","72","72","TAKE3"
"0.0","0.122","0.122","72","0","MPI_Wait()"
"0.0","0.0327","0.0669","72","72","GIVE3"
"0.0","0.031","0.0575","72","72","READY"
"0.0","0.0342","0.0342","72","0","MPI_Send()"
"0.0","0.0301","0.0307","1","2","GET_ACTIVE_NPROCS"
"0.0","0.0265","0.0265","72","0","MPI_Irecv()"
"0.0","0.0193","0.0193","0.03125","0","CHECK_TIMER_FLAG"
"0.0","0.0123","0.0123","51","0","ZERO3"
"0.0","0.0103","0.0103","2","0","TIMER_START"
"0.0","0.00597","0.00997","6","23.9375","POWER"
"0.0","0.00772","0.00953","11","11","INTERP"
"0.0","0.00869","0.00869","1","0","MPI_Reduce()"
"0.0","0.00725","0.00725","1","0","ALLOC_SPACE"
"0.0","0.00566","0.00566","2","0","SETUP"
"0.0","0.00481","0.00481","27.4375","0","RANDLC"
"0.0","0.00391","0.00391","0.03125","0","PRINT_RESULTS"
"0.0","0.00319","0.00319","17","0","TIMER_CLEAR"
"0.0","0.00181","0.00181","11","0","COMM3_EX"
"0.0","0.000812","0.000812","2","0","TIMER_STOP"
"0.0","0.000375","0.000375","1","0","BUBBLE"
"0.0","0.000313","0.000313","1","0","MPI_Comm_size()"
"0.0","0.000281","0.000281","1","0","MPI_Comm_rank()"
"0.0","9.38E-05","9.38E-05","1.03125","0","TIMER_READ"
"0.0","3.13E-05","3.13E-05","0.5","0","VRANLC"
