"%Time","Exclusive","Inclusive","#Call","#Subrs","Name"
"100.0","0.0073","832","1","1",".TAU_application"
"100.0","0.0591","832","1","33.0312","int_main(int_char_**)"
"50.5","420","420","1","0","MPI_Finalize()"
"47.5","395","395","1","0","MPI_Init()"
"1.2","0.237","9","11","33","void_rank(int)"
"0.7","6","6","11","0","MPI_Alltoallv()"
"0.7","2","5","1","16384","void_create_seq(double_double)"
"0.4","2","2","16405","0","double_randlc(double_*_double_*)"
"0.3","2","2","11","0","MPI_Allreduce()"
"0.1","0.906","0.906","1","0","MPI_Comm_dup()"
"0.1","0.837","0.837","11","0","MPI_Alltoall()"
"0.0","0.277","0.277","1","0","MPI_Bcast()"
"0.0","0.0388","0.0504","1","2.95312","void_full_verify(void)"
"0.0","0.018","0.018","2","0","MPI_Reduce()"
"0.0","0.00975","0.00975","1","0","void_alloc_space(void)"
"0.0","0.00494","0.00881","1","21.0312","double_find_my_seed(int_int_long_double_double)"
"0.0","0.00748","0.00748","0.984375","0","MPI_Wait()"
"0.0","0.00303","0.00303","0.015625","0","int_check_timer_flag(void)"
"0.0","0.00297","0.00297","1","0","void_timer_start(int)"
"0.0","0.00289","0.00289","1","0","MPI_Comm_rank()"
"0.0","0.00284","0.00284","1","0","MPI_Comm_size()"
"0.0","0.00252","0.00252","0.984375","0","MPI_Send()"
"0.0","0.00162","0.00162","0.984375","0","MPI_Irecv()"
"0.0","0.00161","0.00161","7","0","void_timer_clear(int)"
"0.0","0.00133","0.00133","0.015625","0","void_c_print_results(char_*_char_int_int_int_int_int_int_double_double_char_*_int_char_*_char_*_char_*_char_*_char_*_char_*_char_*_char_*)"
"0.0","0.000344","0.000344","1","0","void_timer_stop(int)"
"0.0","0.000109","0.000109","1","0","double_timer_read(int)"
